deporte,equipo_1,equipo_2,equipo_1_sigla,equipo_2_sigla,fecha_hora,consensus_equipo_1,consensus_equipo_2,side_equipo_1,side_equipo_2,picks_equipo_1,picks_equipo_2,fecha_scraping
MLB,Seattle Mariners,Minnesota Twins,SEA,MIN,2025-06-26,76%,24%,+3500,-10000,19,6,2025-06-26
MLB,Oakland Athletics,Detroit Tigers,ATH,DET,2025-06-26,26%,74%,+8500,-5000,5,14,2025-06-26
MLB,Los Angeles Dodgers,Colorado Rockies,LAD,COL,2025-06-26,72%,28%,-2000,+20000,23,9,2025-06-26
MLB,Atlanta Braves,New York Mets,ATL,NYM,2025-06-26,34%,66%,+2000,-1700,11,21,2025-06-26
MLB,Toronto Blue Jays,Cleveland Guardians,TOR,CLE,2025-06-26,37%,63%,-10000,+3500,11,19,2025-06-26
MLB,Tampa Bay Rays,Kansas City Royals,TB,KC,2025-06-26,39%,61%,-5000,+1300,12,19,2025-06-26
MLB,Chicago Cubs,St. Louis Cardinals,CHC,STL,2025-06-26,59%,41%,-2750,+1400,17,12,2025-06-26
MLB,Miami Marlins,San Francisco Giants,MIA,SF,2025-06-26,45%,55%,-10000,+2500,15,18,2025-06-26
MLB,Philadelphia Phillies,Houston Astros,PHI,HOU,2025-06-26,54%,46%,+25000,-1000,15,13,2025-06-26
